,Attrition,Gender,OverTime,MaritalStatus,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,BusinessTravel,Education,EducationField,JobLevel,JobRole,Department,StockOptionLevel
57,0,Female,Yes,Married,3,Low,3,3,High,High,0,4,Medical,1,Laboratory Technician,Research & Development,1
58,0,Male,No,Divorced,4,Very High,4,2,High,Very High,0,4,Life Sciences,2,Laboratory Technician,Research & Development,1
59,0,Male,No,Divorced,1,High,3,4,Medium,High,0,4,Life Sciences,2,Manufacturing Director,Research & Development,1
60,0,Male,Yes,Married,1,Very High,2,3,High,Very High,0,3,Medical,2,Manufacturing Director,Research & Development,1
61,0,Female,No,Single,4,Very High,4,3,High,High,1,5,Life Sciences,2,Laboratory Technician,Research & Development,0
62,0,Female,Yes,Divorced,2,High,4,2,Medium,High,0,2,Medical,5,Research Director,Research & Development,1
63,0,Female,No,Single,1,Low,4,2,High,High,0,3,Life Sciences,3,Sales Executive,Sales,0
64,0,Female,No,Divorced,3,High,2,3,High,High,0,3,Technical Degree,3,Healthcare Representative,Research & Development,3
65,0,Female,Yes,Divorced,4,High,3,3,High,High,0,3,Medical,4,Manager,Research & Development,3
66,0,Male,No,Single,2,Medium,3,3,Medium,High,1,3,Life Sciences,2,Manufacturing Director,Research & Development,0
67,0,Male,No,Divorced,2,Low,3,3,High,High,0,3,Life Sciences,3,Research Scientist,Research & Development,1
68,0,Male,No,Married,2,Low,4,2,High,High,1,3,Medical,1,Research Scientist,Research & Development,1
69,1,Male,Yes,Married,4,High,1,2,Medium,High,0,3,Medical,1,Research Scientist,Research & Development,1
70,0,Female,No,Single,1,High,4,2,Medium,High,1,1,Life Sciences,2,Sales Executive,Sales,0
71,0,Male,No,Married,3,Medium,4,3,High,Very High,0,3,Life Sciences,1,Research Scientist,Research & Development,1
72,0,Male,No,Single,3,Medium,2,3,High,High,0,4,Medical,1,Research Scientist,Research & Development,0
73,0,Male,No,Married,2,Medium,2,3,High,High,0,3,Life Sciences,2,Research Scientist,Research & Development,2
74,0,Female,No,Married,2,Very High,2,3,Very High,High,0,3,Life Sciences,1,Laboratory Technician,Research & Development,0
75,0,Female,No,Single,3,Very High,4,3,High,Very High,0,4,Life Sciences,2,Manufacturing Director,Research & Development,0
76,0,Male,No,Single,3,Low,2,3,Medium,High,0,4,Marketing,2,Sales Executive,Sales,0
77,0,Male,Yes,Married,4,Low,2,4,High,High,0,4,Other,3,Research Director,Research & Development,0
78,0,Male,No,Single,1,High,1,4,High,High,0,4,Medical,3,Research Director,Research & Development,0
79,0,Male,Yes,Divorced,2,Medium,4,3,High,Very High,0,2,Medical,2,Human Resources,Human Resources,1
80,0,Male,Yes,Married,4,Very High,3,2,Medium,High,0,1,Life Sciences,2,Laboratory Technician,Research & Development,2
81,0,Male,No,Single,2,High,1,3,Medium,High,0,3,Medical,1,Research Scientist,Research & Development,0
82,0,Male,No,Married,1,Very High,4,3,High,High,0,2,Life Sciences,3,Sales Executive,Sales,1
83,0,Female,Yes,Divorced,2,Very High,4,3,Low,High,Non-Travel,3,Medical,2,Research Scientist,Research & Development,3
84,0,Male,No,Married,1,Medium,3,3,High,High,0,2,Medical,2,Manufacturing Director,Research & Development,0
85,0,Male,No,Single,4,Very High,1,2,Low,High,0,3,Life Sciences,3,Manufacturing Director,Research & Development,0
86,0,Male,No,Divorced,3,Low,3,3,High,High,0,1,Technical Degree,1,Sales Representative,Sales,1
87,0,Male,No,Married,4,Very High,2,3,High,Very High,0,4,Life Sciences,1,Laboratory Technician,Research & Development,2
88,0,Male,No,Married,3,Very High,1,3,Medium,High,0,3,Life Sciences,2,Healthcare Representative,Research & Development,3
89,1,Male,No,Single,3,Very High,4,3,Medium,High,0,2,Medical,3,Sales Executive,Sales,0
90,0,Male,No,Married,3,Medium,4,2,Medium,Very High,1,4,Life Sciences,4,Healthcare Representative,Research & Development,1
91,0,Male,Yes,Single,3,Very High,4,1,High,Very High,0,4,Marketing,2,Sales Executive,Sales,0
92,0,Female,Yes,Divorced,3,Medium,2,2,Medium,High,0,2,Medical,2,Sales Executive,Sales,3
93,0,Male,Yes,Married,3,Low,3,2,Medium,High,1,3,Medical,3,Healthcare Representative,Research & Development,1
94,0,Male,No,Single,2,High,1,3,High,High,0,4,Medical,2,Sales Executive,Sales,0
95,0,Female,No,Married,1,High,1,1,High,High,0,4,Technical Degree,3,Research Director,Research & Development,1
96,0,Female,No,Married,1,High,1,2,High,Very High,0,2,Other,2,Sales Executive,Sales,1
97,0,Male,No,Married,2,High,2,4,High,High,Non-Travel,3,Medical,2,Sales Executive,Sales,0
98,0,Male,No,Single,4,High,3,2,High,High,0,4,Medical,4,Sales Executive,Sales,0
99,0,Male,No,Married,2,Medium,3,4,High,High,Non-Travel,3,Medical,2,Laboratory Technician,Research & Development,1
100,1,Male,Yes,Divorced,3,Low,4,3,High,Very High,0,4,Human Resources,1,Human Resources,Human Resources,0
101,0,Male,No,Single,4,Low,4,3,High,High,0,1,Life Sciences,1,Research Scientist,Research & Development,0
102,1,Female,Yes,Single,4,Very High,2,3,Medium,High,1,3,Life Sciences,1,Laboratory Technician,Research & Development,0
103,0,Female,No,Single,1,High,3,3,High,High,0,4,Other,2,Research Scientist,Research & Development,0
104,0,Male,No,Divorced,3,Very High,4,4,Medium,High,Non-Travel,2,Life Sciences,2,Healthcare Representative,Research & Development,1
105,0,Female,No,Married,3,Very High,4,3,Medium,Very High,Non-Travel,4,Human Resources,5,Manager,Human Resources,1
106,0,Female,Yes,Married,1,Medium,1,2,High,High,1,3,Life Sciences,5,Research Director,Research & Development,0
107,1,Male,Yes,Single,3,High,4,3,Medium,High,0,3,Marketing,2,Sales Executive,Sales,0
108,0,Male,No,Married,4,Very High,3,3,Medium,High,0,1,Medical,1,Research Scientist,Research & Development,2
109,0,Female,No,Single,2,Very High,3,3,High,High,0,3,Medical,1,Laboratory Technician,Research & Development,0
110,0,Female,No,Single,1,Low,3,2,Medium,Very High,1,4,Medical,3,Healthcare Representative,Research & Development,0
111,1,Male,Yes,Single,1,High,4,3,Low,Very High,1,3,Life Sciences,2,Laboratory Technician,Research & Development,0
112,0,Female,Yes,Single,4,Very High,3,3,Very High,High,Non-Travel,3,Human Resources,4,Manager,Human Resources,0
113,0,Male,No,Married,2,High,3,3,High,High,0,1,Life Sciences,1,Laboratory Technician,Research & Development,1
114,0,Female,No,Divorced,3,Medium,3,3,Medium,High,0,4,Life Sciences,2,Research Scientist,Research & Development,1
115,0,Male,No,Single,3,Very High,1,3,High,High,0,3,Life Sciences,3,Sales Executive,Sales,0
116,0,Female,No,Single,3,Low,4,3,Medium,High,0,3,Medical,3,Manager,Research & Development,0
117,0,Female,No,Married,2,Very High,3,3,High,High,1,2,Technical Degree,3,Sales Executive,Sales,1
118,0,Female,No,Divorced,1,Very High,1,3,High,Very High,0,2,Life Sciences,1,Laboratory Technician,Research & Development,1
119,0,Male,Yes,Married,3,Very High,4,4,High,High,1,2,Life Sciences,4,Manager,Sales,2
120,0,Male,No,Divorced,1,High,3,2,Low,Very High,1,3,Life Sciences,1,Research Scientist,Research & Development,3
121,0,Male,No,Married,3,Medium,1,4,High,High,Non-Travel,2,Marketing,2,Sales Executive,Sales,1
122,1,Female,Yes,Married,2,Medium,1,3,High,High,0,4,Life Sciences,1,Research Scientist,Research & Development,3
123,0,Male,No,Single,1,High,3,3,High,High,0,3,Life Sciences,5,Research Director,Research & Development,0
124,1,Male,Yes,Married,2,High,2,2,Low,High,0,4,Life Sciences,2,Sales Executive,Sales,0
125,0,Female,No,Married,3,Medium,3,2,Medium,High,0,3,Other,1,Research Scientist,Research & Development,0
126,1,Female,No,Married,4,Very High,4,2,High,High,0,4,Medical,3,Healthcare Representative,Research & Development,1
127,1,Male,Yes,Single,4,High,4,2,High,High,0,1,Marketing,1,Sales Representative,Sales,0
128,0,Male,No,Married,3,Very High,3,3,High,High,0,1,Technical Degree,1,Laboratory Technician,Research & Development,1
129,0,Female,No,Married,3,Low,3,2,High,High,0,4,Medical,2,Manufacturing Director,Research & Development,0
130,0,Female,No,Single,2,High,4,3,Very High,High,1,3,Medical,1,Research Scientist,Research & Development,0
131,0,Female,No,Single,3,Very High,4,3,High,High,1,3,Marketing,3,Sales Executive,Sales,0
132,1,Female,Yes,Married,2,High,3,3,Low,High,0,3,Life Sciences,2,Sales Executive,Sales,1
133,0,Male,Yes,Divorced,3,High,3,3,High,High,0,1,Life Sciences,3,Sales Executive,Sales,1
134,0,Female,No,Married,3,High,4,3,High,Very High,0,1,Life Sciences,1,Human Resources,Human Resources,1
135,0,Male,No,Divorced,2,Medium,4,3,High,Very High,0,2,Medical,2,Manufacturing Director,Research & Development,2
136,1,Male,No,Single,1,Very High,4,3,Low,High,1,4,Life Sciences,3,Manufacturing Director,Research & Development,0
137,0,Female,No,Married,4,High,3,4,Medium,High,0,4,Life Sciences,2,Sales Executive,Sales,1
138,0,Male,No,Married,1,High,4,3,Medium,High,0,3,Life Sciences,2,Sales Executive,Sales,0
139,0,Male,Yes,Married,3,Very High,4,1,High,High,0,3,Human Resources,2,Human Resources,Human Resources,0
140,1,Female,No,Single,1,Low,1,4,High,Very High,0,3,Medical,1,Laboratory Technician,Research & Development,0
141,0,Male,No,Single,3,Very High,2,2,High,High,0,3,Medical,1,Research Scientist,Research & Development,0
142,0,Female,Yes,Single,4,High,2,3,High,Very High,0,5,Technical Degree,2,Research Scientist,Research & Development,0
143,0,Female,No,Single,1,High,3,2,High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,0
144,0,Male,No,Divorced,4,Very High,4,4,Low,High,1,2,Medical,2,Sales Executive,Sales,3
145,0,Female,No,Divorced,4,Low,4,3,High,High,0,3,Technical Degree,1,Research Scientist,Research & Development,1
146,0,Male,No,Single,2,Very High,4,3,Medium,High,0,1,Medical,1,Laboratory Technician,Research & Development,0
147,0,Male,No,Divorced,4,Low,2,2,Medium,High,1,3,Life Sciences,4,Manager,Research & Development,1
148,0,Male,No,Married,3,Low,4,3,High,Very High,0,4,Life Sciences,1,Laboratory Technician,Research & Development,1
149,0,Female,No,Single,2,Medium,4,3,High,High,0,1,Medical,1,Laboratory Technician,Research & Development,0
150,0,Female,No,Divorced,2,Medium,1,3,High,High,1,3,Medical,2,Research Scientist,Research & Development,1
151,0,Male,No,Married,3,Medium,1,3,High,High,0,5,Marketing,3,Sales Executive,Sales,2
152,0,Male,Yes,Married,2,High,4,1,High,Very High,0,2,Marketing,2,Sales Representative,Sales,1
153,0,Male,No,Divorced,2,Medium,3,1,High,High,0,3,Life Sciences,2,Laboratory Technician,Research & Development,1
154,0,Female,No,Single,2,Very High,4,3,High,High,1,3,Marketing,3,Sales Executive,Sales,0
155,0,Male,No,Married,4,High,1,3,High,High,Non-Travel,1,Technical Degree,2,Manufacturing Director,Research & Development,1
156,0,Male,No,Married,2,High,3,3,Medium,High,0,4,Medical,2,Manufacturing Director,Research & Development,0
157,0,Female,Yes,Married,2,Medium,2,2,Medium,Very High,0,3,Medical,1,Research Scientist,Research & Development,1
158,0,Male,No,Married,3,Very High,1,2,Medium,High,0,4,Marketing,3,Sales Executive,Sales,1
159,0,Female,No,Married,3,High,4,3,High,High,1,4,Marketing,1,Sales Representative,Sales,1
160,0,Male,No,Married,3,Very High,1,3,High,Very High,0,1,Medical,1,Research Scientist,Research & Development,2
161,0,Male,No,Divorced,4,Medium,4,1,High,High,Non-Travel,3,Medical,1,Research Scientist,Research & Development,1
162,0,Male,No,Married,3,Very High,3,1,High,High,0,3,Medical,1,Research Scientist,Research & Development,1
163,0,Male,Yes,Divorced,3,Very High,2,1,Very High,High,0,2,Life Sciences,3,Healthcare Representative,Research & Development,1
164,0,Male,Yes,Divorced,3,High,4,2,Medium,High,Non-Travel,3,Medical,1,Research Scientist,Research & Development,1
165,0,Female,No,Single,3,Medium,2,3,High,High,0,3,Life Sciences,5,Manager,Research & Development,0
166,0,Male,No,Divorced,1,High,1,3,High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,1
167,0,Female,No,Married,2,Very High,3,3,High,High,0,3,Life Sciences,3,Sales Executive,Sales,1
168,0,Female,No,Single,1,Very High,3,4,Medium,Very High,0,4,Life Sciences,2,Sales Executive,Sales,0
169,0,Male,No,Single,3,High,1,3,High,Very High,0,5,Life Sciences,1,Research Scientist,Research & Development,0
170,0,Male,Yes,Married,3,Medium,4,2,High,High,0,3,Technical Degree,1,Research Scientist,Research & Development,1
171,1,Female,No,Single,3,Low,1,4,Low,Very High,1,1,Technical Degree,1,Sales Representative,Sales,0
172,0,Male,No,Single,4,Medium,3,2,High,High,1,2,Medical,1,Laboratory Technician,Research & Development,0
173,0,Male,No,Divorced,3,Low,3,3,High,High,Non-Travel,3,Medical,2,Laboratory Technician,Research & Development,2
174,0,Female,Yes,Divorced,3,Low,1,4,High,High,0,2,Life Sciences,2,Sales Executive,Sales,1
175,0,Female,Yes,Divorced,3,Low,3,3,High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,1
176,0,Male,No,Single,3,Very High,1,4,High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,0
177,1,Male,No,Single,2,Very High,3,2,Medium,Very High,0,3,Life Sciences,1,Laboratory Technician,Research & Development,0
178,0,Female,No,Divorced,2,Low,3,3,High,Very High,0,2,Marketing,3,Sales Executive,Sales,3
179,0,Female,No,Single,3,Very High,3,3,High,High,0,2,Life Sciences,1,Laboratory Technician,Research & Development,0
180,0,Female,Yes,Married,3,Very High,3,3,High,Very High,0,1,Medical,1,Research Scientist,Research & Development,1
181,0,Female,No,Single,4,Medium,4,3,High,High,0,2,Medical,1,Research Scientist,Research & Development,0
182,1,Female,Yes,Single,2,Medium,4,2,High,Very High,0,2,Marketing,1,Sales Representative,Sales,0
183,0,Male,No,Married,3,High,4,2,Medium,High,0,3,Medical,1,Laboratory Technician,Research & Development,1
184,0,Female,No,Divorced,4,Low,3,3,Very High,High,0,2,Medical,2,Manufacturing Director,Research & Development,2
185,0,Female,No,Married,4,Medium,4,3,High,High,0,3,Medical,1,Research Scientist,Research & Development,1
186,0,Female,No,Married,4,High,2,3,High,High,0,1,Medical,5,Manager,Research & Development,1
187,0,Male,No,Single,3,Medium,4,3,Very High,High,0,4,Medical,5,Research Director,Research & Development,0
188,0,Male,No,Married,4,High,3,2,Medium,High,1,1,Life Sciences,2,Manufacturing Director,Research & Development,0
189,0,Female,No,Single,4,Medium,3,3,High,High,0,3,Medical,4,Healthcare Representative,Research & Development,0
190,0,Male,No,Married,3,High,1,3,Medium,High,0,4,Life Sciences,5,Manager,Research & Development,1
191,0,Female,No,Single,4,Medium,4,2,High,High,0,3,Medical,1,Research Scientist,Research & Development,0
192,1,Male,Yes,Married,2,High,1,3,Medium,High,0,2,Life Sciences,2,Manufacturing Director,Research & Development,0
193,0,Male,No,Divorced,4,Very High,4,4,Very High,High,Non-Travel,3,Medical,1,Research Scientist,Research & Development,3
194,0,Male,No,Married,1,Very High,4,3,Medium,Very High,Non-Travel,2,Medical,4,Manager,Research & Development,1
195,0,Male,Yes,Married,2,Low,1,2,Very High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,1
196,0,Female,No,Single,2,Medium,4,3,High,High,1,3,Medical,2,Laboratory Technician,Research & Development,0
197,0,Female,No,Divorced,3,High,2,3,High,High,Non-Travel,2,Medical,2,Manufacturing Director,Research & Development,1
198,0,Male,No,Married,4,High,2,3,High,High,0,4,Life Sciences,2,Manufacturing Director,Research & Development,0
199,0,Male,No,Married,4,Very High,1,1,High,High,0,3,Technical Degree,2,Manufacturing Director,Research & Development,1
200,0,Male,No,Married,3,Low,3,3,Medium,High,1,1,Technical Degree,2,Manufacturing Director,Research & Development,1
201,0,Male,Yes,Divorced,4,Very High,1,3,High,High,Non-Travel,4,Life Sciences,2,Manufacturing Director,Research & Development,2
202,0,Male,Yes,Divorced,4,High,4,4,High,High,1,4,Medical,1,Research Scientist,Research & Development,1
203,0,Male,Yes,Married,3,Very High,3,4,High,High,0,2,Medical,2,Laboratory Technician,Research & Development,1
204,1,Male,Yes,Married,2,Low,2,3,High,High,0,1,Medical,2,Healthcare Representative,Research & Development,0
205,1,Female,No,Married,2,Very High,4,2,High,Very High,0,3,Marketing,3,Sales Executive,Sales,3
206,0,Male,Yes,Divorced,4,Medium,1,2,Very High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,1
207,0,Female,No,Single,2,Very High,1,3,High,High,1,1,Medical,1,Laboratory Technician,Research & Development,0
208,0,Male,No,Married,4,Very High,4,1,Medium,High,Non-Travel,5,Life Sciences,2,Healthcare Representative,Research & Development,1
209,0,Male,No,Divorced,4,Low,3,3,High,High,0,4,Medical,3,Healthcare Representative,Research & Development,1
210,1,Male,No,Married,4,Very High,3,2,Low,High,0,4,Medical,3,Sales Executive,Sales,0
211,0,Male,No,Single,3,High,3,3,Medium,Very High,Non-Travel,1,Life Sciences,3,Manufacturing Director,Research & Development,0
212,0,Female,No,Single,4,High,4,3,High,High,1,3,Life Sciences,2,Sales Executive,Sales,0
213,0,Male,No,Married,2,Medium,4,1,Medium,High,0,4,Life Sciences,3,Research Director,Research & Development,2
214,1,Female,Yes,Single,4,Low,3,3,High,High,0,3,Technical Degree,1,Research Scientist,Research & Development,0
215,0,Female,Yes,Single,4,Very High,3,3,High,High,0,3,Life Sciences,3,Manager,Sales,0
216,1,Female,No,Single,3,Low,3,2,Medium,High,1,4,Marketing,2,Sales Executive,Sales,0
217,1,Male,No,Single,3,High,4,2,High,High,0,3,Technical Degree,1,Research Scientist,Research & Development,0
218,0,Female,No,Single,4,Very High,4,3,Medium,High,Non-Travel,3,Medical,3,Sales Executive,Sales,0
219,0,Female,No,Married,4,Low,4,3,High,High,0,3,Marketing,2,Sales Executive,Sales,1
220,0,Male,No,Single,4,Medium,4,4,High,High,0,2,Life Sciences,2,Laboratory Technician,Research & Development,0
221,0,Female,No,Married,3,Medium,4,3,Medium,Very High,0,4,Medical,1,Research Scientist,Research & Development,0
222,0,Male,Yes,Divorced,2,Very High,3,3,High,High,1,3,Other,3,Research Director,Research & Development,3
223,0,Male,No,Divorced,1,High,3,2,High,High,0,3,Life Sciences,3,Sales Executive,Sales,2
224,0,Male,No,Married,3,High,4,3,Low,High,Non-Travel,4,Medical,2,Manufacturing Director,Research & Development,1
225,0,Male,No,Married,3,Very High,1,3,Medium,High,0,3,Life Sciences,1,Research Scientist,Research & Development,1
226,0,Male,No,Divorced,1,Very High,3,3,High,High,1,4,Marketing,1,Sales Representative,Sales,1
227,0,Female,No,Married,2,Very High,4,3,High,High,1,1,Medical,3,Sales Executive,Sales,1
228,0,Female,No,Single,3,High,1,4,High,High,1,3,Marketing,3,Sales Executive,Sales,0
229,1,Male,Yes,Single,3,Very High,3,2,Medium,High,0,1,Medical,1,Research Scientist,Research & Development,0
230,0,Female,No,Single,3,Very High,2,2,Medium,High,0,3,Life Sciences,1,Laboratory Technician,Research & Development,0
231,0,Male,No,Married,3,Very High,4,3,High,High,0,2,Technical Degree,5,Manager,Research & Development,0
232,0,Male,No,Married,2,High,4,2,High,High,0,2,Medical,1,Human Resources,Human Resources,0
233,0,Female,No,Divorced,4,Very High,3,2,High,High,0,4,Medical,5,Manager,Sales,1
234,1,Male,Yes,Married,3,Very High,3,1,High,High,0,3,Medical,1,Laboratory Technician,Research & Development,1
235,0,Female,Yes,Married,4,Very High,3,3,High,Very High,0,3,Marketing,4,Manager,Sales,1
236,1,Female,No,Married,1,Low,1,4,High,Very High,0,2,Life Sciences,1,Laboratory Technician,Research & Development,0
237,0,Male,Yes,Single,1,High,4,4,Medium,High,Non-Travel,4,Life Sciences,5,Manager,Sales,0
238,0,Female,No,Married,3,Medium,1,3,High,High,0,2,Life Sciences,1,Sales Representative,Sales,1
239,1,Male,Yes,Single,4,High,4,1,Medium,High,0,3,Life Sciences,1,Laboratory Technician,Research & Development,0
240,0,Female,No,Divorced,3,High,3,3,High,High,0,4,Medical,1,Laboratory Technician,Research & Development,3
241,0,Male,No,Married,3,Very High,1,3,High,High,Non-Travel,4,Marketing,2,Sales Executive,Sales,0
242,0,Male,No,Divorced,3,Low,1,2,High,High,0,2,Life Sciences,2,Research Scientist,Research & Development,2
243,0,Male,No,Divorced,1,Very High,1,3,High,High,0,2,Technical Degree,2,Research Scientist,Research & Development,2
244,0,Male,No,Married,3,Very High,3,3,Very High,High,0,3,Other,5,Manager,Research & Development,1
245,0,Male,No,Divorced,2,High,1,3,High,High,1,4,Medical,3,Research Director,Research & Development,1
246,0,Female,No,Married,3,Very High,3,2,Medium,High,0,4,Life Sciences,1,Research Scientist,Research & Development,1
247,0,Male,No,Married,4,Low,2,3,Medium,High,0,4,Life Sciences,2,Manufacturing Director,Research & Development,1
248,0,Female,No,Married,3,Low,1,2,Medium,High,0,2,Medical,1,Research Scientist,Research & Development,1
249,0,Male,No,Married,1,High,4,3,Very High,High,1,4,Life Sciences,2,Manufacturing Director,Research & Development,1
250,1,Male,No,Divorced,1,High,2,3,High,High,1,3,Medical,3,Manufacturing Director,Research & Development,2
251,0,Female,No,Single,3,High,4,3,High,Very High,1,4,Technical Degree,3,Healthcare Representative,Research & Development,0
252,0,Male,No,Single,3,Very High,1,3,High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,0
