,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
24,33,0,0,924,Research & Development,2,Bachelors,Medical,3,Male,78,High,1,Laboratory Technician,Very High,Single,2496,6670,4,No,11,High,4,0,7,3,3,1,1,0,0
25,44,0,0,1459,Research & Development,10,Masters,Other,4,Male,41,High,2,Healthcare Representative,Very High,Married,6465,19121,2,Yes,13,High,4,0,9,5,4,4,2,1,3
26,30,0,0,125,Research & Development,9,College,Medical,4,Male,83,Medium,1,Laboratory Technician,High,Single,2206,16117,1,No,13,High,1,0,10,5,3,10,0,1,8
27,43,0,0,1273,Research & Development,2,College,Medical,4,Female,72,Very High,1,Research Scientist,High,Divorced,2645,21923,1,No,12,High,4,2,6,3,2,5,3,1,4
28,35,0,0,890,Sales,2,Bachelors,Marketing,4,Female,97,High,1,Sales Representative,Very High,Married,2014,9687,1,No,13,High,1,0,2,3,3,2,2,2,2
29,36,0,0,852,Research & Development,5,Masters,Life Sciences,2,Female,82,Medium,1,Research Scientist,Low,Married,3419,13072,9,Yes,14,High,4,1,6,3,4,1,1,0,0
30,33,0,1,1141,Sales,1,Bachelors,Life Sciences,3,Female,42,Very High,2,Sales Executive,Low,Married,5376,3193,2,No,19,High,1,2,10,3,3,5,3,1,3
31,35,0,0,464,Research & Development,4,College,Other,3,Male,75,High,1,Laboratory Technician,Very High,Divorced,1951,10910,1,No,12,High,3,1,1,3,3,1,0,0,0
32,27,0,0,1240,Research & Development,2,Masters,Life Sciences,4,Female,33,High,1,Laboratory Technician,Low,Divorced,2341,19715,1,No,13,High,4,1,1,6,3,1,0,0,0
33,27,0,1,994,Sales,8,Bachelors,Life Sciences,4,Male,37,High,3,Sales Executive,High,Single,8726,2975,1,No,15,High,4,0,9,0,3,9,8,1,7
34,30,0,1,721,Research & Development,1,College,Medical,3,Female,58,High,2,Laboratory Technician,Very High,Single,4011,10781,1,No,23,Very High,4,0,12,2,3,12,8,3,7
35,34,0,Non-Travel,1065,Sales,23,Masters,Marketing,2,Male,72,High,2,Sales Executive,High,Single,4568,10034,0,No,20,Very High,3,0,10,2,3,9,5,8,7
36,37,0,0,408,Research & Development,19,College,Life Sciences,2,Male,73,High,1,Research Scientist,Medium,Married,3022,10227,4,No,21,Very High,1,0,8,1,3,1,0,0,0
37,46,0,1,1211,Sales,5,Masters,Marketing,1,Male,98,High,2,Sales Executive,Very High,Single,5772,20445,4,Yes,21,Very High,3,0,14,4,3,9,6,0,8
38,35,0,0,1229,Research & Development,8,Below College,Life Sciences,4,Male,36,Very High,1,Laboratory Technician,Very High,Married,2269,4892,1,No,19,High,4,0,1,2,3,1,0,0,1
39,44,0,0,1488,Sales,1,PhD,Marketing,2,Female,75,High,2,Sales Executive,Low,Divorced,5454,4009,5,Yes,21,Very High,3,1,9,2,2,4,3,1,3
40,35,0,Non-Travel,1097,Research & Development,11,College,Medical,3,Male,79,Medium,3,Healthcare Representative,Low,Married,9884,8302,2,Yes,13,High,3,1,10,3,3,4,0,2,3
41,26,0,0,1443,Sales,23,Bachelors,Marketing,3,Female,47,Medium,2,Sales Executive,Very High,Married,4157,21436,7,Yes,19,High,3,1,5,2,2,2,2,0,0
42,33,0,1,515,Research & Development,1,College,Life Sciences,1,Female,98,High,3,Research Director,Very High,Single,13458,15146,1,Yes,12,High,3,0,15,1,3,15,14,8,12
43,35,0,1,853,Sales,18,PhD,Life Sciences,2,Male,71,High,3,Sales Executive,Low,Married,9069,11031,1,No,22,Very High,4,1,9,3,2,9,8,1,8
44,35,0,0,1142,Research & Development,23,Masters,Medical,3,Female,30,High,1,Laboratory Technician,Low,Married,4014,16002,3,Yes,15,High,3,1,4,3,3,2,2,2,2
45,31,0,0,655,Research & Development,7,Masters,Life Sciences,4,Male,48,High,2,Laboratory Technician,Very High,Divorced,5915,9528,3,No,22,Very High,4,1,10,3,2,7,7,1,7
46,37,0,0,1115,Research & Development,1,Masters,Life Sciences,1,Male,51,Medium,2,Manufacturing Director,High,Divorced,5993,2689,1,No,18,High,3,1,7,2,4,7,5,0,7
47,32,0,0,427,Research & Development,1,Bachelors,Medical,1,Male,33,High,2,Manufacturing Director,Very High,Married,6162,10877,1,Yes,22,Very High,2,1,9,3,3,9,8,7,8
48,38,0,1,653,Research & Development,29,PhD,Life Sciences,4,Female,50,High,2,Laboratory Technician,Very High,Single,2406,5456,1,No,11,High,4,0,10,2,3,10,3,9,9
49,50,0,0,989,Research & Development,7,College,Medical,2,Female,43,Medium,5,Research Director,High,Divorced,18740,16701,5,Yes,12,High,4,1,29,2,2,27,3,13,8
50,59,0,0,1435,Sales,25,Bachelors,Life Sciences,1,Female,99,High,3,Sales Executive,Low,Single,7637,2354,7,No,11,High,4,0,28,3,2,21,16,7,9
51,36,0,0,1223,Research & Development,8,Bachelors,Technical Degree,3,Female,59,High,3,Healthcare Representative,High,Divorced,10096,8202,1,No,13,High,2,3,17,2,3,17,14,12,8
52,55,0,0,836,Research & Development,8,Bachelors,Medical,4,Female,33,High,4,Manager,High,Divorced,14756,19730,2,Yes,14,High,3,3,21,2,3,5,0,0,2
53,36,0,1,1195,Research & Development,11,Bachelors,Life Sciences,2,Male,95,Medium,2,Manufacturing Director,Medium,Single,6499,22656,1,No,13,High,3,0,6,3,3,6,5,0,3
54,45,0,0,1339,Research & Development,7,Bachelors,Life Sciences,2,Male,59,High,3,Research Scientist,Low,Divorced,9724,18787,2,No,17,High,3,1,25,2,3,1,0,0,0
55,35,0,1,664,Research & Development,1,Bachelors,Medical,2,Male,79,High,1,Research Scientist,Low,Married,2194,5868,4,No,13,High,4,1,5,2,2,3,2,1,2
56,59,0,1,1225,Sales,1,Below College,Life Sciences,1,Female,57,Medium,2,Sales Executive,High,Single,5473,24668,7,No,11,High,4,0,20,2,2,4,3,1,3
57,29,0,0,1328,Research & Development,2,Bachelors,Life Sciences,3,Male,76,High,1,Research Scientist,Medium,Married,2703,4956,0,No,23,Very High,4,1,6,3,3,5,4,0,4
58,31,0,0,1082,Research & Development,1,Masters,Medical,3,Male,87,High,1,Research Scientist,Medium,Single,2501,18775,1,No,17,High,2,0,1,4,3,1,1,1,0
59,32,0,0,548,Research & Development,1,Bachelors,Life Sciences,2,Male,66,High,2,Research Scientist,Medium,Married,6220,7346,1,No,17,High,2,2,10,3,3,10,4,0,9
60,36,0,0,132,Research & Development,6,Bachelors,Life Sciences,2,Female,55,Very High,1,Laboratory Technician,Very High,Married,3038,22002,3,No,12,High,2,0,5,3,3,1,0,0,0
61,31,0,0,746,Research & Development,8,Masters,Life Sciences,3,Female,61,High,2,Manufacturing Director,Very High,Single,4424,20682,1,No,23,Very High,4,0,11,2,3,11,7,1,8
62,35,0,0,776,Sales,1,Masters,Marketing,3,Male,32,Medium,2,Sales Executive,Low,Single,4312,23016,0,No,14,High,2,0,16,2,3,15,13,2,8
63,45,0,0,193,Research & Development,6,Masters,Other,4,Male,52,High,3,Research Director,Low,Married,13245,15067,4,Yes,14,High,2,0,17,3,4,0,0,0,0
64,37,0,0,397,Research & Development,7,Masters,Medical,1,Male,30,High,3,Research Director,High,Single,13664,25258,4,No,13,High,1,0,16,3,4,5,2,0,2
65,46,0,0,945,Human Resources,5,College,Medical,2,Male,80,High,2,Human Resources,Medium,Divorced,5021,10425,8,Yes,22,Very High,4,1,16,2,3,4,2,0,2
66,30,0,0,852,Research & Development,1,Below College,Life Sciences,4,Male,55,Medium,2,Laboratory Technician,Very High,Married,5126,15998,1,Yes,12,High,3,2,10,1,2,10,8,3,0
67,35,0,0,1214,Research & Development,1,Bachelors,Medical,2,Male,30,Medium,1,Research Scientist,High,Single,2859,26278,1,No,18,High,1,0,6,3,3,6,4,0,4
68,55,0,0,111,Sales,1,College,Life Sciences,1,Male,70,High,3,Sales Executive,Very High,Married,10239,18092,3,No,14,High,4,1,24,4,3,1,0,1,0
69,38,0,Non-Travel,573,Research & Development,6,Bachelors,Medical,2,Female,79,Low,2,Research Scientist,Very High,Divorced,5329,15717,7,Yes,12,High,4,3,17,3,3,13,11,1,9
70,34,0,0,1153,Research & Development,1,College,Medical,1,Male,94,High,2,Manufacturing Director,Medium,Married,4325,17736,1,No,15,High,3,0,5,2,3,5,2,1,3
71,56,0,0,1400,Research & Development,7,Bachelors,Life Sciences,4,Male,49,Low,3,Manufacturing Director,Very High,Single,7260,21698,4,No,11,High,1,0,37,3,2,6,4,0,2
72,23,0,0,541,Sales,2,Below College,Technical Degree,3,Male,62,High,1,Sales Representative,Low,Divorced,2322,9518,3,No,13,High,3,1,3,3,3,0,0,0,0
73,51,0,0,432,Research & Development,9,Masters,Life Sciences,4,Male,96,High,1,Laboratory Technician,Very High,Married,2075,18725,3,No,23,Very High,2,2,10,4,3,4,2,0,3
74,30,0,0,288,Research & Development,2,Bachelors,Life Sciences,3,Male,99,Medium,2,Healthcare Representative,Very High,Married,4152,15830,1,No,19,High,1,3,11,3,3,11,10,10,8
75,40,0,1,530,Research & Development,1,Masters,Life Sciences,3,Male,78,Medium,4,Healthcare Representative,Medium,Married,13503,14115,1,No,22,Very High,4,1,22,3,2,22,3,11,11
76,51,0,0,632,Sales,21,Masters,Marketing,3,Male,71,High,2,Sales Executive,Very High,Single,5441,8423,0,Yes,22,Very High,4,0,11,2,1,10,7,1,0
77,30,0,0,1334,Sales,4,College,Medical,3,Female,63,Medium,2,Sales Executive,Medium,Divorced,5209,19760,1,Yes,12,High,2,3,11,4,2,11,8,2,7
78,46,0,1,638,Research & Development,1,Bachelors,Medical,3,Male,40,Medium,3,Healthcare Representative,Low,Married,10673,3142,2,Yes,13,High,3,1,21,5,2,10,9,9,5
79,32,0,0,1093,Sales,6,Masters,Medical,2,Male,87,High,2,Sales Executive,High,Single,5010,24301,1,No,16,High,1,0,12,0,3,11,8,5,7
80,54,0,0,1217,Research & Development,2,Masters,Technical Degree,1,Female,60,High,3,Research Director,High,Married,13549,24001,9,No,12,High,1,1,16,5,1,4,3,0,3
81,24,0,0,1353,Sales,3,College,Other,1,Female,33,High,2,Sales Executive,High,Married,4999,17519,0,No,21,Very High,1,1,4,2,2,3,2,0,2
82,28,0,Non-Travel,120,Sales,4,Bachelors,Medical,2,Male,43,High,2,Sales Executive,High,Married,4221,8863,1,No,15,High,2,0,5,3,4,5,4,0,4
83,58,0,0,682,Sales,10,Masters,Medical,4,Male,37,High,4,Sales Executive,High,Single,13872,24409,0,No,13,High,3,0,38,1,2,37,10,1,8
84,44,0,Non-Travel,489,Research & Development,23,Bachelors,Medical,2,Male,67,High,2,Laboratory Technician,Medium,Married,2042,25043,4,No,12,High,3,1,17,3,4,3,2,1,2
85,32,0,0,827,Research & Development,1,Below College,Life Sciences,4,Male,71,High,1,Research Scientist,Low,Single,2956,15178,1,No,13,High,4,0,1,2,3,1,0,0,0
86,34,0,0,665,Research & Development,6,Masters,Other,1,Female,41,High,2,Research Scientist,High,Single,4809,12482,1,No,14,High,3,0,16,3,3,16,13,2,10
87,37,0,Non-Travel,1040,Research & Development,2,College,Life Sciences,3,Male,100,Medium,2,Healthcare Representative,Very High,Divorced,5163,15850,5,No,14,High,4,1,17,2,4,1,0,0,0
88,59,0,Non-Travel,1420,Human Resources,2,Masters,Human Resources,3,Female,32,Medium,5,Manager,Very High,Married,18844,21922,9,No,21,Very High,4,1,30,3,3,3,2,2,2
89,50,0,1,1115,Research & Development,1,Bachelors,Life Sciences,1,Female,73,High,5,Research Director,Medium,Married,18172,9755,3,Yes,19,High,1,0,28,1,2,8,3,0,7
90,25,0,0,1280,Research & Development,7,Below College,Medical,4,Male,64,Medium,1,Research Scientist,Very High,Married,2889,26897,1,No,11,High,3,2,2,2,3,2,2,2,1
91,22,0,0,534,Research & Development,15,Bachelors,Medical,2,Female,59,High,1,Laboratory Technician,Very High,Single,2871,23785,1,No,15,High,3,0,1,5,3,0,0,0,0
92,51,0,1,1456,Research & Development,1,Masters,Medical,1,Female,30,Medium,3,Healthcare Representative,Low,Single,7484,25796,3,No,20,Very High,3,0,23,1,2,13,12,12,8
93,54,0,Non-Travel,142,Human Resources,26,Bachelors,Human Resources,4,Female,30,Very High,4,Manager,Very High,Single,17328,13871,2,Yes,12,High,3,0,23,3,3,5,3,4,4
94,24,0,0,1127,Research & Development,18,Below College,Life Sciences,2,Male,52,High,1,Laboratory Technician,High,Married,2774,13257,0,No,12,High,3,1,6,2,3,5,3,1,2
95,34,0,0,1031,Research & Development,6,Masters,Life Sciences,3,Female,45,Medium,2,Research Scientist,Medium,Divorced,4505,15000,6,No,15,High,3,1,12,3,3,1,0,0,0
96,37,0,0,1189,Sales,3,Bachelors,Life Sciences,3,Male,87,High,3,Sales Executive,Very High,Single,7428,14506,2,No,12,High,1,0,12,3,3,5,3,1,3
97,34,0,0,1354,Research & Development,5,Bachelors,Medical,3,Female,45,Medium,3,Manager,Low,Single,11631,5615,2,No,12,High,4,0,14,6,3,11,10,5,8
98,36,0,1,1467,Sales,11,College,Technical Degree,2,Female,92,High,3,Sales Executive,Very High,Married,9738,22952,0,No,14,High,3,1,10,6,3,9,7,2,8
99,36,0,0,922,Research & Development,3,College,Life Sciences,1,Female,39,High,1,Laboratory Technician,Very High,Divorced,2835,2561,5,No,22,Very High,1,1,7,2,3,1,0,0,0
100,43,0,1,394,Sales,26,College,Life Sciences,3,Male,92,High,4,Manager,Very High,Married,16959,19494,1,Yes,12,High,4,2,25,3,4,25,12,4,12
101,30,0,1,1312,Research & Development,23,Bachelors,Life Sciences,1,Male,96,Low,1,Research Scientist,High,Divorced,2613,22310,1,No,25,Very High,3,3,10,2,2,10,7,0,9
102,33,0,Non-Travel,750,Sales,22,College,Marketing,3,Male,95,High,2,Sales Executive,Medium,Married,6146,15480,0,No,13,High,1,1,8,2,4,7,7,0,7
103,51,0,0,684,Research & Development,6,Bachelors,Life Sciences,1,Male,51,High,5,Research Director,High,Single,19537,6462,7,No,13,High,3,0,23,5,3,20,18,15,15
104,26,0,0,841,Research & Development,6,Bachelors,Other,3,Female,46,Medium,1,Research Scientist,Medium,Married,2368,23300,1,No,19,High,3,0,5,3,2,5,4,4,3
105,22,0,0,594,Research & Development,2,Below College,Technical Degree,3,Male,100,High,1,Laboratory Technician,Very High,Married,2523,19299,0,No,14,High,3,1,3,2,3,2,1,2,1
106,49,0,0,470,Research & Development,20,Masters,Medical,3,Female,96,High,2,Manufacturing Director,Low,Married,6567,5549,1,No,14,High,3,0,16,2,2,15,11,5,11
107,43,0,1,957,Research & Development,28,Bachelors,Medical,2,Female,72,Very High,1,Research Scientist,High,Single,4739,16090,4,No,12,High,4,0,18,2,3,3,2,1,2
108,50,0,1,809,Sales,12,Bachelors,Marketing,3,Female,77,High,3,Sales Executive,Very High,Single,9208,6645,4,No,11,High,4,0,16,3,3,2,2,2,1
109,41,0,0,802,Sales,9,Below College,Life Sciences,3,Male,96,High,3,Sales Executive,High,Divorced,8189,21196,3,Yes,13,High,3,1,12,2,3,9,7,0,7
110,26,0,0,1355,Human Resources,25,Below College,Life Sciences,3,Female,61,High,1,Human Resources,High,Married,2942,8916,1,No,23,Very High,4,1,8,3,3,8,7,5,7
111,36,0,0,216,Research & Development,6,College,Medical,2,Male,84,High,2,Manufacturing Director,Medium,Divorced,4941,2819,6,No,20,Very High,4,2,7,0,3,3,2,0,1
112,39,0,0,1329,Sales,4,Masters,Life Sciences,4,Female,47,Medium,2,Sales Executive,High,Married,5902,14590,4,No,14,High,3,1,17,1,4,15,11,5,9
113,25,0,0,959,Sales,28,Bachelors,Life Sciences,1,Male,41,Medium,2,Sales Executive,High,Married,8639,24835,2,No,18,High,4,0,6,3,3,2,2,2,2
114,30,0,0,1240,Human Resources,9,Bachelors,Human Resources,3,Male,48,High,2,Human Resources,Very High,Married,6347,13982,0,Yes,19,High,4,0,12,2,1,11,9,4,7
115,45,0,0,1316,Research & Development,29,Bachelors,Medical,3,Male,83,High,1,Research Scientist,Very High,Single,3452,9752,5,No,13,High,2,0,9,2,2,6,5,0,3
116,38,0,0,364,Research & Development,3,PhD,Technical Degree,4,Female,32,High,2,Research Scientist,High,Single,4317,2302,3,Yes,20,Very High,2,0,19,2,3,3,2,2,2
117,30,0,0,438,Research & Development,18,Bachelors,Life Sciences,1,Female,75,High,1,Research Scientist,High,Single,2632,23910,1,No,14,High,3,0,5,4,2,5,4,0,4
118,32,0,1,689,Sales,9,College,Medical,4,Male,35,Low,2,Sales Executive,Very High,Divorced,4668,22812,0,No,17,High,4,3,9,2,4,8,7,0,7
119,30,0,0,201,Research & Development,5,Bachelors,Technical Degree,4,Female,84,High,1,Research Scientist,Low,Divorced,3204,10415,5,No,14,High,4,1,8,3,3,3,2,2,2
120,30,0,0,1427,Research & Development,2,Below College,Medical,2,Male,35,Medium,1,Laboratory Technician,Very High,Single,2720,11162,0,No,13,High,4,0,6,3,3,5,3,1,2
121,41,0,1,857,Research & Development,10,Bachelors,Life Sciences,4,Male,91,Medium,4,Manager,Low,Divorced,17181,12888,4,No,13,High,2,1,21,2,2,7,6,7,7
122,41,0,0,933,Research & Development,9,Masters,Life Sciences,3,Male,94,High,1,Laboratory Technician,Low,Married,2238,6961,2,No,21,Very High,4,1,7,2,3,5,0,1,4
123,19,0,0,1181,Research & Development,3,Below College,Medical,2,Female,79,High,1,Laboratory Technician,Medium,Single,1483,16102,1,No,14,High,4,0,1,3,3,1,0,0,0
124,40,0,1,1395,Research & Development,26,Bachelors,Medical,2,Female,54,High,2,Research Scientist,Medium,Divorced,5605,8504,1,No,11,High,1,1,20,2,3,20,7,2,13
125,35,0,0,662,Sales,1,PhD,Marketing,3,Male,94,High,3,Sales Executive,Medium,Married,7295,11439,1,No,13,High,1,2,10,3,3,10,8,0,6
126,53,0,0,1436,Sales,6,College,Marketing,2,Male,34,High,2,Sales Representative,High,Married,2306,16047,2,Yes,20,Very High,4,1,13,3,1,7,7,4,5
127,45,0,0,194,Research & Development,9,Bachelors,Life Sciences,2,Male,60,High,2,Laboratory Technician,Medium,Divorced,2348,10901,8,No,18,High,3,1,20,2,1,17,9,0,15
128,32,0,1,967,Sales,8,Bachelors,Marketing,2,Female,43,High,3,Sales Executive,Very High,Single,8998,15589,1,No,14,High,4,0,9,2,3,9,8,3,7
129,29,0,Non-Travel,1496,Research & Development,1,Below College,Technical Degree,4,Male,41,High,2,Manufacturing Director,High,Married,4319,26283,1,No,13,High,1,1,10,1,3,10,7,0,9
130,51,0,0,1169,Research & Development,7,Masters,Medical,2,Male,34,Medium,2,Manufacturing Director,High,Married,6132,13983,2,No,17,High,3,0,10,2,3,1,0,0,0
131,58,0,0,1145,Research & Development,9,Bachelors,Medical,2,Female,75,Medium,1,Research Scientist,Medium,Married,3346,11873,4,Yes,20,Very High,2,1,9,3,2,1,0,0,0
132,40,0,0,630,Sales,4,Masters,Marketing,3,Male,67,Medium,3,Sales Executive,Very High,Married,10855,8552,7,No,11,High,1,1,15,2,2,12,11,2,11
133,34,0,1,303,Sales,2,Masters,Marketing,3,Female,75,High,1,Sales Representative,High,Married,2231,11314,6,No,18,High,4,1,6,3,3,4,3,1,2
134,22,0,0,1256,Research & Development,19,Below College,Medical,3,Male,80,High,1,Research Scientist,Very High,Married,2323,11992,1,No,24,Very High,1,2,2,6,3,2,2,2,2
135,27,0,Non-Travel,691,Research & Development,9,Bachelors,Medical,4,Male,57,High,1,Research Scientist,Medium,Divorced,2024,5970,6,No,18,High,4,1,6,1,1,2,2,2,2
136,28,0,0,440,Research & Development,21,Bachelors,Medical,3,Male,42,High,1,Research Scientist,Very High,Married,2713,6672,1,No,11,High,3,1,5,2,1,5,2,0,2
137,57,0,0,334,Research & Development,24,College,Life Sciences,3,Male,83,Very High,3,Healthcare Representative,Very High,Divorced,9439,23402,3,Yes,16,High,2,1,12,2,1,5,3,1,4
138,27,0,Non-Travel,1450,Research & Development,3,Bachelors,Medical,3,Male,79,Medium,1,Research Scientist,High,Divorced,2566,25326,1,Yes,15,High,4,1,1,2,2,1,1,0,1
139,50,0,0,1452,Research & Development,11,Bachelors,Life Sciences,3,Female,53,High,5,Manager,Medium,Single,19926,17053,3,No,15,High,2,0,21,5,3,5,4,4,4
140,41,0,0,465,Research & Development,14,Bachelors,Life Sciences,1,Male,56,High,1,Research Scientist,High,Divorced,2451,4609,4,No,12,High,1,1,13,2,3,9,8,1,8
141,30,0,0,1339,Sales,5,Bachelors,Life Sciences,2,Female,41,High,3,Sales Executive,Very High,Married,9419,8053,2,No,12,High,3,1,12,2,3,10,9,7,4
142,38,0,0,702,Sales,1,Masters,Life Sciences,1,Female,59,Medium,2,Sales Executive,Very High,Single,8686,12930,4,No,22,Very High,3,0,12,2,4,8,3,0,7
143,32,0,0,120,Research & Development,6,PhD,Life Sciences,3,Male,43,High,1,Research Scientist,High,Single,3038,12430,3,No,20,Very High,1,0,8,2,3,5,4,1,4
144,27,0,0,1157,Research & Development,17,Bachelors,Technical Degree,3,Male,51,High,1,Research Scientist,Medium,Married,3058,13364,0,Yes,16,High,4,1,6,3,2,5,2,1,1
145,36,0,1,1480,Research & Development,3,College,Medical,4,Male,30,High,1,Laboratory Technician,Medium,Single,2088,15062,4,No,12,High,3,0,13,3,2,8,7,7,2
146,30,0,Non-Travel,111,Research & Development,9,Bachelors,Medical,3,Male,66,High,2,Laboratory Technician,Low,Divorced,3072,11012,1,No,11,High,3,2,12,4,3,12,9,6,10
147,45,0,0,1268,Sales,4,College,Life Sciences,3,Female,30,High,2,Sales Executive,Low,Divorced,5006,6319,4,Yes,11,High,1,1,9,3,4,5,4,0,3
148,56,0,0,713,Research & Development,8,Bachelors,Life Sciences,3,Female,67,High,1,Research Scientist,Low,Divorced,4257,13939,4,Yes,18,High,3,1,19,3,3,2,2,2,2
149,33,0,0,134,Research & Development,2,Bachelors,Life Sciences,3,Male,90,High,1,Research Scientist,Very High,Single,2500,10515,0,No,14,High,1,0,4,2,4,3,1,0,2
150,46,0,0,526,Sales,1,College,Marketing,2,Female,92,High,3,Sales Executive,Low,Divorced,10453,2137,1,No,25,Very High,3,3,24,2,3,24,13,15,7
151,38,0,0,1380,Research & Development,9,College,Life Sciences,3,Female,75,High,1,Laboratory Technician,Very High,Single,2288,6319,1,No,12,High,3,0,2,3,3,2,2,2,1
152,31,0,0,140,Research & Development,12,Below College,Medical,3,Female,95,High,1,Research Scientist,Very High,Married,3929,6984,8,Yes,23,Very High,3,1,7,0,3,4,2,0,2
153,34,0,0,629,Research & Development,27,College,Medical,4,Female,95,High,1,Research Scientist,Medium,Single,2311,5711,2,No,15,High,4,0,9,3,3,3,2,1,2
154,50,0,0,328,Research & Development,1,Bachelors,Medical,3,Male,86,Medium,1,Laboratory Technician,High,Married,3690,3425,2,No,15,High,4,1,5,2,2,3,2,0,2
